================================================================================
TURTLEBOT3 DQN INFERENCE REPORT
================================================================================

INFERENCE CONFIGURATION
--------------------------------------------------------------------------------
Model File: best_model_stage5_raw.pth
Model Type: dueling_dqn
Evaluation Episodes: 12000
Device: cpu

EPISODE RESULTS
--------------------------------------------------------------------------------
Episode 1/12000 | Goals: 0 | Distance: 5.85m | Steps: 73
Episode 2/12000 | Goals: 2 | Distance: 10.32m | Steps: 128
Episode 3/12000 | Goals: 2 | Distance: 8.79m | Steps: 109
Episode 4/12000 | Goals: 2 | Distance: 4.96m | Steps: 62
Episode 5/12000 | Goals: 1 | Distance: 11.64m | Steps: 145
Episode 6/12000 | Goals: 0 | Distance: 1.07m | Steps: 14
Episode 7/12000 | Goals: 0 | Distance: 1.70m | Steps: 22
Episode 8/12000 | Goals: 0 | Distance: 0.80m | Steps: 11
Episode 9/12000 | Goals: 1 | Distance: 10.67m | Steps: 132
Episode 10/12000 | Goals: 2 | Distance: 6.32m | Steps: 79
Episode 11/12000 | Goals: 0 | Distance: 1.55m | Steps: 20
